,Rank,Date,Team,Acquired,Relinquished,Notes
411,411,1990-01-26,IND,Rickey Green,,activated from IL
412,412,1990-01-30,CLE,,Paul Mokeski,placed on IL
413,413,1990-01-30,CLE,Brad Daugherty,,activated from IL
414,414,1990-02-02,SEA,,Sedale Threatt,placed on IL
415,415,1990-02-04,MIL,,Tito Horford,placed on IL
416,416,1990-02-04,MIL,Ben Coleman,,activated from IL
417,417,1990-02-15,MIN,Steve Johnson,,activated from IL
418,418,1990-02-22,CHH,Michael Holton,,activated
419,419,1990-02-22,ORL,,Otis Smith,placed on IL
420,420,1990-02-23,SAC,,Michael Jackson,placed on IL
421,421,1990-02-23,SAC,Pervis Ellison,,activated from IL
422,422,1990-02-26,HOU,,Byron Dinkins,placed on IL
423,423,1990-02-27,MIL,,Ben Coleman,placed on IL
424,424,1990-03-05,HOU,Tim McCormick,,activated from IL
425,425,1990-03-06,ATL,Jon Koncak,,activated from IL
426,426,1990-03-09,SEA,,Quintin Dailey,placed on IL
427,427,1990-03-09,SEA,Dale Ellis,,activated from IL
428,428,1990-03-11,NYK,,Kenny Walker,placed on IL
429,429,1990-03-11,NYK,Kiki Vandeweghe,,activated from IL
430,430,1990-03-16,MIL,,Jack Sikma,placed on IL
431,431,1990-03-16,MIL,Larry Krystkowiak,,activated from IL
432,432,1990-03-16,ATL,Doc Rivers,,activated from IL
433,433,1990-03-20,NYK,,Greg Butler,placed on IL
434,434,1990-03-20,NYK,Kenny Walker,,activated from IL
435,435,1990-03-25,CHI,,Craig Hodges,placed on IL with strained lower back
436,436,1990-04-06,PHO,Dan Majerle,,activated from IL
437,437,1990-04-08,DAL,,Brad Davis,placed on IL
438,438,1990-04-14,CHI,Craig Hodges,,activated from IL
439,439,1990-04-14,CHH,,Brian Rowsom,placed on IL
440,440,1990-04-18,DAL,Brad Davis,,activated from IL
441,441,1990-04-19,MIL,,Ricky Pierce,placed on IL
442,442,1990-04-19,MIL,Tony Brown,,activated from IL
443,443,1990-04-21,IND,,Dyron Nix,placed on IL
444,444,1990-04-21,IND,Calvin Natt,,activated from IL
445,445,1990-04-26,NYK,,Greg Butler,"""deactivated"""
446,446,1990-04-26,NYK,Charles Oakley,,activated from IL
447,447,1990-11-02,NJN,,Roy Hinson,placed on IL
448,448,1990-11-02,PHO,,Andrew Lang,placed on IL
449,449,1990-11-02,PHO,,Negele Knight,placed on IL
450,450,1990-11-02,PHO,,Ricky Blanton,placed on IL
451,451,1990-11-02,SAC,,Anthony Bonner,placed on IL with stress fracture in left foot
452,452,1990-11-02,DEN,,Stephen Thompson,placed on IL
453,453,1990-11-02,GSW,,Bart Kofoed,placed on IL
454,454,1990-11-02,GSW,,Jim Petersen,placed on IL
455,455,1990-11-02,CLE,,Miloš Babić,placed on IL
456,456,1990-11-02,NYK,,John Starks,placed on IL
457,457,1990-11-02,NYK,,Kenny Walker,placed on IL
458,458,1990-11-02,LAL,,Irving Thomas,placed on IL
459,459,1990-11-02,HOU,,Buck Johnson,placed on IL
460,460,1990-11-02,HOU,,Matt Bullard,placed on IL
461,461,1990-11-10,GSW,,Mike Smrek,placed on IL with bruised ribs
462,462,1990-11-10,GSW,Jim Petersen,,activated from IL
463,463,1990-11-13,ATL,Jon Koncak,,activated from IL
464,464,1990-11-13,LAC,,Danny Manning,placed on IL with patella tendinitis in right knee
465,465,1990-11-15,SEA,Dave Corzine,,activated from IL
466,466,1990-11-16,SEA,,Dale Ellis,transferred from suspended list to IL
467,467,1990-11-16,PHO,,Ian Lockhart,"placed on IL with knee, ankle injuries"
468,468,1990-11-16,PHO,Andrew Lang,,activated from IL
469,469,1990-11-19,HOU,,Adrian Caldwell,placed on IL with eye injury
470,470,1990-11-20,DEN,,Marcus Liberty,placed on IL
471,471,1990-11-20,DEN,Jerome Lane,,activated from IL
472,472,1990-11-20,HOU,Buck Johnson,,activated from IL
473,473,1990-11-21,CLE,,Hot Rod Williams,placed on IL with sprained left foot
474,474,1990-11-21,CLE,Miloš Babić,,activated from IL
475,475,1990-11-21,PHO,,Tim Perry,placed on IL
476,476,1990-11-21,PHO,Negele Knight,,activated from IL
477,477,1990-11-25,LAC,,Ken Norman,placed on IL
478,478,1990-11-25,LAC,Danny Manning,,activated from IL
479,479,1990-11-26,GSW,Mike Smrek,,activated from IL
480,480,1990-11-27,WSB,,Larry Robinson,placed on IL
481,481,1990-11-28,SAC,,Steve Colter,placed on IL with surgery on left ankle
482,482,1990-12-01,LAL,,Tony Brown,placed on IL
483,483,1990-12-01,LAL,Irving Thomas,,activated from IL
484,484,1990-12-04,ORL,,Sam Vincent,placed on IL
485,485,1990-12-04,HOU,Adrian Caldwell,,activated from IL
486,486,1990-12-05,MIA,Keith Askins,,activated from IL
487,487,1990-12-05,PHO,,Andrew Lang,placed on IL
488,488,1990-12-05,PHO,Tim Perry,,activated from IL
489,489,1990-12-06,MIN,,Bob Thornton,placed on IL with fractured wrist
490,490,1990-12-10,SAC,Anthony Bonner,,activated from IL
491,491,1990-12-13,CLE,,Winston Bennett,placed on IL
492,492,1990-12-18,SAC,,Bob Hansen,placed on IL with torn cartilage in left knee
493,493,1990-12-18,NYK,,Maurice Cheeks,placed on IL
494,494,1990-12-18,NYK,,Stuart Gray,placed on IL
495,495,1990-12-18,NYK,Kenny Walker,,activated from IL
496,496,1990-12-18,NYK,Trent Tucker,,activated from IL
497,497,1990-12-19,DAL,,Herb Williams,placed on IL
498,498,1990-12-19,SAS,Sean Higgins,,activated from IL
499,499,1990-12-22,ORL,Sam Vincent,,activated from IL
500,500,1990-12-22,DEN,,Orlando Woolridge,placed on IL recovering from surgery on right eye to repair detached retina (date approximate)
501,501,1990-12-25,DEN,Jerome Lane,,activated from IL
502,502,1990-12-25,SAS,Sidney Green,,activated from IL
503,503,1990-12-26,PHO,,Kenny Battle,placed on IL
504,504,1990-12-26,PHO,Andrew Lang,,activated from IL
505,505,1990-12-27,BOS,,Derek Smith,placed on IL
506,506,1990-12-30,DAL,,Fat Lever,placed on IL
507,507,1991-01-04,NJN,,Tate George,placed on IL
508,508,1991-01-04,NJN,Roy Hinson,,activated from IL
509,509,1991-01-05,HOU,Matt Bullard,,activated from IL
510,510,1991-01-07,MIA,,Rony Seikaly,placed on IL
511,511,1991-01-09,SEA,,Quintin Dailey,placed on IL with right hamstring injury
512,512,1991-01-09,SEA,Scott Meents,,activated
513,513,1991-01-13,NYK,,Eddie Lee Wilkins,placed on IL
514,514,1991-01-13,NYK,Stuart Gray,,activated from IL
515,515,1991-01-13,NJN,,Derrick Gervin,placed on IL
516,516,1991-01-13,NJN,Tate George,,activated from IL
517,517,1991-01-14,CHH,,Kenny Gattison,placed on IL
518,518,1991-01-14,SAC,,Wayman Tisdale,placed on IL with torn tendon in right foot
519,519,1991-01-14,HOU,,Hakeem Olajuwon,placed on IL recovering from surgery on right eye (date approximate)
520,520,1991-01-21,CHH,,Randolph Keys,placed on IL with broken finger
521,521,1991-01-21,CHH,,Rex Chapman,placed on IL with sprained left ankle
522,522,1991-01-22,IND,,Rik Smits,placed on IL with bone chips in right elbow
523,523,1991-01-23,NYK,Eddie Lee Wilkins,,activated from IL
524,524,1991-01-23,DAL,Herb Williams,,activated from IL
525,525,1991-01-23,NJN,,Sam Bowie,placed on IL with bruised right shin
526,526,1991-01-24,DEN,Orlando Woolridge,,activated from IL
527,527,1991-01-25,LAC,,Tom Garrick,placed on IL
528,528,1991-01-25,LAC,Ron Harper,,activated from IL
529,529,1991-01-25,NJN,,Roy Hinson,placed on IL
530,530,1991-01-25,NJN,Derrick Gervin,,activated from IL
531,531,1991-01-25,DET,,Isiah Thomas,placed on IL with right wrist injury
532,532,1991-01-27,MIA,Rony Seikaly,,activated from IL
533,533,1991-01-27,PHO,,Kurt Rambis,placed on IL
534,534,1991-01-28,PHI,,Dave Hoppen,placed on IL
535,535,1991-01-29,IND,Vern Fleming,,activated from IL
536,536,1991-01-31,CHH,Rex Chapman,,activated from IL
537,537,1991-02-02,CHH,Kenny Gattison,,activated from IL
538,538,1991-02-03,SAS,,Rod Strickland,placed on IL with fractured right hand
539,539,1991-02-05,IND,Rik Smits,,activated from IL
540,540,1991-02-05,PHO,Kurt Rambis,,activated from IL
541,541,1991-02-06,WSB,,Haywoode Workman,placed on IL
542,542,1991-02-06,CLE,,Miloš Babić,placed on IL
543,543,1991-02-06,CLE,Hot Rod Williams,,activated from IL
544,544,1991-02-06,LAC,Tom Garrick,,activated from IL (date approximate)
545,545,1991-02-06,LAC,Tom Garrick,,activated from IL
546,546,1991-02-12,DEN,,Todd Lichti,placed on IL with knee injury
547,547,1991-02-15,MIA,,Jon Sundvold,placed on IL with pneumonia and sinusitis
548,548,1991-02-15,MIA,Terry Davis,,activated from IL
549,549,1991-02-17,NJN,,Kurk Lee,placed on IL
550,550,1991-02-17,NJN,Sam Bowie,,activated from IL
551,551,1991-02-18,PHI,Dave Hoppen,,activated from IL
552,552,1991-02-19,PHO,,Tim Perry,placed on IL
553,553,1991-02-21,LAL,,Sam Perkins,placed on IL
554,554,1991-02-25,GSW,,Tom Tolbert,placed on IL
555,555,1991-02-25,GSW,Les Jepsen,,activated from IL
556,556,1991-02-26,MIL,,Steve Henson,placed on IL
557,557,1991-02-26,WSB,,Mark Alarie,placed on IL
558,558,1991-02-26,WSB,Darrell Walker,,activated from IL
559,559,1991-02-26,CLE,,Derrick Chievous,placed on IL with back spasms
560,560,1991-02-26,CLE,Winston Bennett,,activated from IL
561,561,1991-02-27,SAC,,Anthony Bonner,placed on IL
562,562,1991-02-27,SAC,Steve Colter,,activated from IL
563,563,1991-02-28,UTA,,Blue Edwards,placed on IL
564,564,1991-02-28,SAC,,Ralph Sampson,placed on IL with strained tendons in right forefoot
565,565,1991-02-28,HOU,,Matt Bullard,placed on IL
566,566,1991-02-28,HOU,Hakeem Olajuwon,,activated from IL
567,567,1991-03-04,BOS,,Dave Popson,placed on IL with bone spur in left foot
568,568,1991-03-05,LAC,,Ken Norman,placed on IL
569,569,1991-03-05,LAC,Winston Garland,,activated from IL
570,570,1991-03-05,SAS,David Wingate,,activated
571,571,1991-03-06,NYK,,Jerrod Mustaf,placed on IL
572,572,1991-03-06,NYK,Greg Grant,,activated from IL
573,573,1991-03-06,DET,,Lance Blanks,placed on IL
574,574,1991-03-06,DET,John Salley,,activated from IL
575,575,1991-03-13,ATL,,Trevor Wilson,placed on IL
576,576,1991-03-17,PHO,,Joe Barry Carroll,placed on IL
577,577,1991-03-17,PHO,Tim Perry,,activated from IL
578,578,1991-03-19,SAS,,Tony Massenburg,placed on IL
579,579,1991-03-19,SAS,Rod Strickland,,activated from IL
580,580,1991-03-20,NJN,,Chris Dudley,placed on IL
581,581,1991-03-20,NJN,Kurk Lee,,activated from IL
582,582,1991-03-27,LAC,,Ken Bannister,placed on IL
583,583,1991-03-27,LAC,Mike Smrek,,activated from IL
584,584,1991-03-29,NYK,,Gerald Wilkins,placed on IL
585,585,1991-03-29,NYK,Jerrod Mustaf,,activated from IL
586,586,1991-04-02,HOU,,Dave Feitl,placed on IL with sprained ankle
587,587,1991-04-02,SAS,,Dwayne Schintzius,placed on IL with back spasms
588,588,1991-04-02,SAS,Tony Massenburg,,activated from IL
589,589,1991-04-03,BOS,Derek Smith,,activated from IL
590,590,1991-04-03,HOU,Matt Bullard,,activated from IL
591,591,1991-04-06,DET,Isiah Thomas,,activated from IL
592,592,1991-04-13,NJN,,Sam Bowie,placed on IL
593,593,1991-04-13,NJN,Chris Dudley,,activated from IL
594,594,1991-04-18,PHI,,Kenny Payne,placed on IL
595,595,1991-04-18,WSB,,Charles Jones,placed on IL with pulled left groin
596,596,1991-04-20,CLE,,Brad Daugherty,placed on IL with broken left middle finger
597,597,1991-04-20,CLE,Miloš Babić,,activated from IL
598,598,1991-04-21,PHO,,Tim Perry,placed on IL
599,599,1991-04-21,PHO,Joe Barry Carroll,,activated from IL
600,600,1991-11-01,POR,,Ennis Whatley,placed on IL with broken right ankle
601,601,1991-11-01,POR,,Lamont Strothers,placed on IL
602,602,1991-11-01,PHI,,Manute Bol,placed on IL
603,603,1991-11-01,MIL,,Bobby Phills,placed on IL
604,604,1991-11-01,CLE,,John Battle,placed on IL
605,605,1991-11-01,CLE,,Mark Price,placed on IL
606,606,1991-11-01,BOS,,Stojko Vranković,placed on IL
607,607,1991-11-01,NYK,,Patrick Eddie,placed on IL
608,608,1991-11-01,DET,,Bob McCann,placed on IL
609,609,1991-11-01,GSW,,Jim Petersen,placed on IL
610,610,1991-11-01,GSW,,Les Jepsen,placed on IL
611,611,1991-11-07,CHI,,Craig Hodges,placed on IL with sprained left knee
612,612,1991-11-13,SEA,,Shawn Kemp,placed on IL
613,613,1991-11-13,SEA,Quintin Dailey,,activated from IL
614,614,1991-11-17,CHI,,Bill Cartwright,placed on IL with broken left hand
615,615,1991-11-29,DEN,,Scott Hastings,placed on IL
616,616,1991-11-29,DEN,Todd Lichti,,activated from IL
617,617,1991-12-15,PHI,,Brian Oliver,placed on IL
618,618,1991-12-15,PHI,Mitchell Wiggins,,activated from IL
619,619,1991-12-17,CHI,Craig Hodges,,activated from IL
620,620,1991-12-28,CHI,Bill Cartwright,,activated from IL
621,621,1992-01-02,DET,,Bob McCann,placed on IL with Achilles tendon injury (date approximate)
622,622,1992-01-06,ORL,,Otis Smith,placed on IL
623,623,1992-01-20,MIN,,Tom Garrick,placed on IL
624,624,1992-01-20,MIN,Tod Murphy,,activated from IL
625,625,1992-01-29,POR,,Lamont Strothers,placed on IL with strained rotator cuff in right shoulder
626,626,1992-01-29,POR,Ennis Whatley,,activated from IL
627,627,1992-02-11,MIN,,Felton Spencer,placed on IL
628,628,1992-02-11,MIN,Tom Garrick,,activated from IL
629,629,1992-02-13,SAC,,Dwayne Schintzius,placed on IL with herniated disc in lower back
630,630,1992-02-26,LAL,,Keith Owens,placed on IL
631,631,1992-02-26,LAL,Vlade Divac,,activated from IL
632,632,1992-03-01,LAC,,Doc Rivers,placed on IL
633,633,1992-03-04,PHI,,Dave Hoppen,placed on IL
634,634,1992-03-04,PHI,Jeff Ruland,,activated from IL
635,635,1992-03-07,DET,Bob McCann,,activated from IL (date approximate)
636,636,1992-03-10,LAL,,James Worthy,placed on IL
637,637,1992-03-20,DAL,,Derek Harper,placed on IL
638,638,1992-03-24,HOU,Carl Herrera,,activated from IL
639,639,1992-04-17,HOU,,Matt Bullard,placed on IL
640,640,1992-04-17,HOU,John Turner,,activated from IL
641,641,1992-11-06,CLE,,Jay Guidinger,placed on IL
642,642,1992-11-06,CLE,,Jerome Lane,placed on IL
643,643,1992-11-06,BOS,,Kenny Battle,placed on IL with inflamed tendon between fourth and fifth fingers on left hand
644,644,1992-11-06,BOS,,Marcus Webb,placed on IL with pulled left groin
645,645,1992-11-13,SAC,,Spud Webb,placed on IL with torn ligaments in left wrist
646,646,1992-11-18,BOS,,Ed Pinckney,placed on IL with strained left knee & calf
647,647,1992-11-18,BOS,Marcus Webb,,activated from IL
648,648,1992-11-19,BOS,Kenny Battle,,activated from IL
649,649,1992-11-19,DEN,,Robert Werdann,placed on IL
650,650,1992-11-19,DEN,Gary Plummer,,activated from IL
651,651,1992-12-02,CHI,,Corey Williams,placed on IL with abdominal strain
652,652,1992-12-03,CLE,Jerome Lane,,activated from IL
653,653,1992-12-04,POR,,Jerome Kersey,placed on IL with sore left knee
654,654,1992-12-10,HOU,,Kennard Winchester,placed on IL
655,655,1992-12-10,HOU,Tree Rollins,,activated from IL
656,656,1992-12-15,CHI,Corey Williams,,activated from IL
657,657,1992-12-22,CHH,,Mike Gminski,placed on IL
658,658,1992-12-23,ATL,,Dominique Wilkins,placed on IL with broken fourth finger on right hand
659,659,1992-12-30,POR,,Clyde Drexler,placed on IL with sore right knee
660,660,1992-12-30,DET,,Olden Polynice,placed on IL
661,661,1992-12-30,PHO,,Tim Kempton,placed on IL
662,662,1992-12-30,PHO,Oliver Miller,,activated from IL
663,663,1993-01-02,CLE,,Hot Rod Williams,placed on IL
664,664,1993-01-02,CLE,Jay Guidinger,,activated from IL
665,665,1993-01-08,CHI,,Scott Williams,placed on IL with right knee tendinitis
666,666,1993-01-12,POR,,Delaney Rudd,placed on IL with left knee tendinitis
667,667,1993-01-18,CHI,,Rodney McCray,placed on IL with sprained right knee
668,668,1993-01-18,CHI,Scott Williams,,activated from IL
669,669,1993-01-20,SAS,Willie Anderson,,activated from IL
670,670,1993-02-08,LAC,,Ken Norman,placed on IL with chicken pox
671,671,1993-02-08,NYK,,Eric Anderson,placed on IL
672,672,1993-02-08,NYK,Bo Kimble,,activated from IL
673,673,1993-02-10,CHI,,John Paxson,placed on IL
674,674,1993-02-18,POR,Delaney Rudd,,activated from IL
675,675,1993-02-23,CHI,,Bill Cartwright,placed on IL
676,676,1993-02-23,POR,Delaney Rudd,,activated from IL
677,677,1993-02-23,CHI,Rodney McCray,,activated from IL
678,678,1993-02-23,LAC,Ken Norman,,activated from IL
679,679,1993-02-25,ORL,,Terry Catledge,placed on IL
680,680,1993-02-25,ORL,Dennis Scott,,activated from IL
681,681,1993-03-02,POR,,Clyde Drexler,placed on IL
682,682,1993-03-02,POR,Delaney Rudd,,activated from IL
683,683,1993-03-02,GSW,Billy Owens,,activated from IL
684,684,1993-03-11,MIL,,Orlando Woolridge,placed on IL
685,685,1993-03-11,MIL,Todd Day,,activated from IL
686,686,1993-03-11,ATL,,Blair Rasmussen,placed on IL
687,687,1993-03-19,CHI,,Trent Tucker,placed on IL
688,688,1993-03-19,CHI,John Paxson,,activated from IL
689,689,1993-03-23,POR,,Kevin Duckworth,placed on IL with sore right knee
690,690,1993-03-24,CHI,,Corey Williams,placed on IL
691,691,1993-03-24,CHI,Bill Cartwright,,activated from IL
692,692,1993-03-26,PHO,,Jerrod Mustaf,placed on IL with bruised right thigh
693,693,1993-03-30,CHI,,Darrell Walker,placed on IL
694,694,1993-03-30,CHI,Trent Tucker,,activated from IL
695,695,1993-04-02,POR,,Joe Wolf,placed on IL with upper respiratory infection
696,696,1993-04-02,POR,Kevin Duckworth,,activated from IL
697,697,1993-04-06,MIL,,Frank Brickowski,placed on IL
698,698,1993-04-06,MIL,Orlando Woolridge,,activated from IL
699,699,1993-04-06,POR,Delaney Rudd,,activated from IL
700,700,1993-04-10,DEN,,Bryant Stith,placed on IL
701,701,1993-04-10,DEN,Robert Werdann,,activated from IL
702,702,1993-04-11,PHO,Jerrod Mustaf,,activated from IL
703,703,1993-04-15,MIL,,Danny Schayes,placed on IL
704,704,1993-04-15,MIL,Frank Brickowski,,activated from IL
705,705,1993-04-20,CHI,,Ed Nealy,placed on IL
706,706,1993-04-20,CHI,Darrell Walker,,activated from IL
707,707,1993-11-05,NYK,,Tim McCormick,placed on IL
708,708,1993-11-05,CHI,,John Paxson,placed on IL
709,709,1993-11-05,CHI,,Scott Williams,placed on IL
710,710,1993-11-05,LAC,,Henry James,placed on IL with left knee tendinitis
711,711,1993-11-05,ORL,,Anthony Cook,placed on IL with recovering from surgery on right knee
712,712,1993-11-08,CHI,,Scottie Pippen,placed on IL
713,713,1993-11-09,CLE,,Larry Nance,placed on IL
714,714,1993-11-16,LAC,Henry James,,activated from IL
715,715,1993-11-24,CLE,,Gerald Madkins,placed on IL
716,716,1993-11-24,CLE,Terrell Brandon,,activated from IL
717,717,1993-11-30,CHI,,Will Perdue,placed on IL
718,718,1993-11-30,CHI,Scottie Pippen,,activated from IL
719,719,1993-12-12,MIN,,Doug West,placed on IL
720,720,1993-12-12,MIN,Marlon Maxey,,activated from IL
721,721,1993-12-20,IND,,Pooh Richardson,placed on IL with stress fracture in right leg (date approximate)
