,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,Draft Pick,Rating,Team
261,Devin Booker,2016,2025,G,6-6,206,"October 30, 1996",Kentucky,13,0,n
262,Melvin Booker,1996,1997,G,6-2,185,"August 20, 1972",Missouri,0,0,n
263,Trevor Booker,2011,2018,F,6-8,228,"November 25, 1987",Clemson,23,0,n
264,Josh Boone,2007,2010,F-C,6-10,237,"November 21, 1984",UConn,23,0,n
266,Calvin Booth,2000,2009,C,6-11,230,"May 7, 1976",Penn State,35,0,n
267,Keith Booth,1998,1999,F,6-6,226,"October 9, 1974",Maryland,28,0,n
269,Carlos Boozer,2003,2015,F-C,6-9,258,"November 20, 1981",Duke,35,0,n
270,Curtis Borchardt,2004,2005,C,7-0,240,"September 13, 1980",Stanford,18,0,n
272,Lazaro Borrell,2000,2000,F,6-8,220,"September 20, 1972",,0,0,n
275,Chris Bosh,2004,2016,F-C,6-11,235,"March 24, 1984",Georgia Tech,4,0,n
277,Brandon Boston Jr.,2022,2025,G-F,6-7,185,"November 28, 2001",Kentucky,51,0,n
279,Tom Boswell,1976,1984,F-C,6-9,220,"October 2, 1953","South Carolina State, South Carolina",17,0,n
280,Chris Boucher,2018,2025,F,6-9,200,"January 11, 1993","New Mexico Junior College, Northwest College, Oregon",0,0,n
281,James Bouknight,2022,2024,G,6-5,190,"September 18, 2000",UConn,11,0,n
282,Ruben Boumtje-Boumtje,2002,2004,C,7-0,257,"May 20, 1978",Georgetown,50,0,n
283,Jamaree Bouyea,2023,2024,G,6-2,180,"June 27, 1999",San Francisco,0,0,n
285,Cal Bowdler,2000,2002,F,6-10,245,"March 31, 1977",Old Dominion,17,0,n
286,Brian Bowen,2020,2021,F,6-6,190,"October 2, 1998",,0,0,n
287,Bruce Bowen,1997,2009,F,6-7,185,"June 14, 1971",Cal State Fullerton,0,0,n
288,Ryan Bowen,2000,2010,F,6-7,215,"November 20, 1975",Iowa,55,0,n
290,Anthony Bowie,1989,1998,G-F,6-6,190,"November 9, 1963",Oklahoma,66,0,n
291,Sam Bowie,1985,1995,C-F,7-1,235,"March 17, 1961",Kentucky,2,0,n
293,Ira Bowman,2000,2002,G,6-5,195,"June 11, 1973","Providence, Penn",0,0,n
294,Ky Bowman,2020,2020,G,6-1,187,"June 16, 1997",Boston College,0,0,n
296,Donnie Boyce,1996,1997,G,6-5,196,"September 2, 1973",Colorado,42,0,n
300,Earl Boykins,1999,2012,G,5-5,135,"June 2, 1976",Eastern Michigan,0,0,n
303,Cedric Bozeman,2007,2007,G,6-6,207,"March 7, 1983",UCLA,0,0,n
305,Craig Brackins,2011,2012,F,6-10,230,"October 9, 1987",Iowa State,21,0,n
309,Avery Bradley,2011,2022,G,6-3,180,"November 26, 1990",Texas,19,0,n
312,Charles Bradley,1982,1984,G,6-5,215,"May 16, 1959",Wyoming,23,0,n
313,Dudley Bradley,1980,1989,G-F,6-6,195,"March 19, 1957",UNC,13,0,n
316,Michael Bradley,2002,2006,F-C,6-10,245,"April 18, 1979","Kentucky, Villanova",17,0,n
317,Shawn Bradley,1994,2005,C,7-6,235,"March 22, 1972",BYU,2,0,n
318,Tony Bradley,2018,2023,F-C,6-10,248,"January 8, 1998",UNC,28,0,n
319,Mark Bradtke,1997,1997,C-F,6-10,265,"September 27, 1968",,0,0,n
320,Marques Bragg,1996,1996,F,6-8,230,"March 24, 1970",Providence,0,0,n
321,Torraye Braggs,2004,2005,F,6-8,245,"May 15, 1976",Xavier,57,0,n
322,A.J. Bramlett,2000,2000,C,6-10,227,"January 10, 1977",Arizona,39,0,n
323,Adrian Branch,1987,1990,F-G,6-7,185,"November 17, 1963",Maryland,46,0,n
324,Elton Brand,2000,2016,F-C,6-9,275,"March 11, 1979",Duke,1,0,n
325,Terrell Brandon,1992,2002,G,5-11,180,"May 20, 1970",Oregon,11,0,n
326,Malaki Branham,2023,2025,G,6-4,180,"May 12, 2003",Ohio State,20,0,n
328,Brad Branson,1982,1983,C-F,6-10,220,"September 24, 1958",SMU,45,0,n
330,Jarrell Brantley,2020,2023,F,6-5,250,"June 7, 1996",College of Charleston,50,0,n
332,Mike Bratz,1978,1986,G,6-2,185,"October 17, 1955",Stanford,66,0,n
334,Christian Braun,2023,2025,G,6-6,218,"April 17, 2001",Kansas,21,0,n
335,Ignas Brazdeikis,2020,2022,F,6-6,221,"January 8, 1999",Michigan,47,0,n
336,Tim Breaux,1995,1998,F,6-7,215,"September 19, 1970",Wyoming,0,0,n
337,J.R. Bremer,2003,2004,G,6-2,185,"September 19, 1980",St. Bonaventure,0,0,n
340,Randy Breuer,1984,1994,C,7-3,230,"October 11, 1960",Minnesota,18,0,n
341,Corey Brewer,2008,2020,F-G,6-9,186,"March 5, 1986",Florida,7,0,n
342,Jamison Brewer,2002,2005,G,6-4,184,"November 19, 1980",Auburn,41,0,n
344,Ron Brewer,1979,1986,G,6-4,180,"July 16, 1955","University of Arkansas-Fort Smith, Arkansas",7,0,n
345,Ronnie Brewer,2007,2014,G-F,6-7,220,"March 20, 1985",Arkansas,14,0,n
346,Primož Brezec,2002,2010,C,7-2,252,"October 2, 1979",,27,0,n
348,Frank Brickowski,1985,1997,F-C,6-9,240,"August 14, 1959",Penn State,57,0,n
349,Junior Bridgeman,1976,1987,F-G,6-5,210,"September 17, 1953",Louisville,8,0,n
351,Jalen Bridges,2025,2025,F,6-8,225,"May 14, 2001","West Virginia, Baylor",0,0,n
352,Mikal Bridges,2019,2025,F-G,6-6,209,"August 30, 1996",Villanova,10,0,n
353,Miles Bridges,2019,2025,G-F,6-7,225,"March 21, 1998",Michigan State,12,0,n
355,Amida Brimah,2021,2021,C,6-10,230,"February 11, 1994",UConn,0,0,n
357,Isaiah Briscoe,2019,2019,G,6-3,215,"April 13, 1996",Kentucky,0,0,n
359,Oshae Brissett,2020,2024,F,6-7,210,"June 20, 1998",Syracuse,0,0,n
360,Allan Bristow,1974,1983,F-G,6-7,210,"August 23, 1951",Virginia Tech,21,0,n
363,Mike Brittain,1986,1987,C,7-0,235,"June 21, 1963",South Carolina,29,0,n
365,Izaiah Brockington,2024,2024,G,6-4,200,"July 12, 1999","St. Bonaventure, Penn State, Iowa State",0,0,n
366,Jon Brockman,2010,2012,F,6-7,255,"March 20, 1987",Washington,38,0,n
367,Ryan Broekhoff,2019,2020,F,6-6,215,"August 23, 1990",Valparaiso,0,0,n
368,Jim Brogan,1982,1983,G,6-4,185,"February 24, 1958",West Virginia Wesleyan College,0,0,n
369,Malcolm Brogdon,2017,2025,G,6-4,229,"December 11, 1992",Virginia,36,0,n
373,Aaron Brooks,2008,2018,G,6-0,161,"January 14, 1985",Oregon,26,0,n
374,Armoni Brooks,2021,2024,G,6-3,195,"June 5, 1998",Houston,0,0,n
375,Dillon Brooks,2018,2025,F-G,6-6,225,"January 22, 1996",Oregon,45,0,n
376,Kevin Brooks,1992,1994,F,6-6,200,"October 12, 1969",Louisiana,18,0,n
377,MarShon Brooks,2012,2019,G-F,6-5,200,"January 26, 1989",Providence,25,0,n
378,Michael Brooks,1981,1988,F,6-7,220,"August 17, 1958",La Salle,9,0,n
379,Scott Brooks,1989,1998,G,5-11,165,"July 31, 1965","TCU, University of California, Irvine",0,0,n
380,Andre Brown,2007,2009,F,6-9,245,"May 12, 1981",DePaul,0,0,n
381,Anthony Brown,2016,2018,F-G,6-7,210,"October 10, 1992",Stanford,34,0,n
383,Bobby Brown,2009,2018,G,6-2,175,"September 24, 1984",Cal State Fullerton,0,0,n
384,Bruce Brown,2019,2024,G-F,6-4,202,"August 15, 1996",Miami (FL),42,0,n
385,Charlie Brown Jr.,2020,2024,G,6-6,199,"February 2, 1997",Saint Joseph's,0,0,n
386,Chaundee Brown Jr.,2022,2022,G-F,6-5,215,"December 4, 1998","Wake Forest, Michigan",0,0,n
387,Chucky Brown,1990,2002,F,6-7,214,"February 29, 1968",NC State,43,0,n
388,Damone Brown,2002,2005,F,6-9,200,"June 28, 1979",Syracuse,37,0,n
390,Dee Brown,1991,2002,G,6-1,160,"November 29, 1968",Jacksonville University,19,0,n
391,Dee Brown,2007,2009,G,6-0,185,"August 17, 1984",Illinois,46,0,n
392,Derrick Brown,2010,2012,F,6-7,225,"September 8, 1987",Xavier,40,0,n
393,Devin Brown,2003,2010,G,6-5,220,"December 30, 1978",Texas-San Antonio,0,0,n
394,Ernest Brown,2002,2002,C,7-0,244,"May 17, 1979",Indian Hills Community College,52,0,n
395,Fred Brown,1972,1984,G,6-3,182,"August 7, 1948","Southeastern Iowa Community College, West Burlington Campus, Iowa",6,0,n
397,Gerald Brown,1999,1999,G,6-4,210,"July 28, 1975",Pepperdine,0,0,n
398,Greg Brown III,2022,2024,F,6-7,205,"September 1, 2001",Texas,43,0,n
400,Jabari Brown,2015,2015,G,6-4,215,"December 18, 1992","Oregon, Missouri",0,0,n
401,Jaylen Brown,2017,2025,F-G,6-6,223,"October 24, 1996",California,3,0,n
403,Kedrick Brown,2002,2005,G,6-7,222,"March 18, 1981",Okaloosa-Walton Community College,11,0,n
404,Kendall Brown,2023,2024,G-F,6-8,205,"May 11, 2003",Baylor,48,0,n
405,Kobe Brown,2024,2025,G-F,6-7,250,"January 1, 2000",Missouri,30,0,n
406,Kwame Brown,2002,2013,F,6-11,270,"March 10, 1982",,1,0,n
410,Lorenzo Brown,2014,2019,G,6-5,189,"August 26, 1990",NC State,52,0,n
411,Marcus Brown,1997,2000,G,6-3,185,"April 3, 1974",Murray State,46,0,n
412,Markel Brown,2015,2018,G,6-3,190,"January 29, 1992",Oklahoma State,44,0,n
413,Mike Brown,1987,1997,C-F,6-9,257,"July 19, 1963",George Washington,69,0,n
414,Moses Brown,2020,2025,C,7-2,245,"October 13, 1999",UCLA,0,0,n
415,Myron Brown,1992,1992,G,6-3,180,"November 3, 1969",Slippery Rock University of Pennsylvania,34,0,n
416,P.J. Brown,1994,2008,F-C,6-11,225,"October 14, 1969",Louisiana Tech,29,0,n
417,Randy Brown,1992,2003,G,6-2,190,"May 22, 1968","Houston, New Mexico State",31,0,n
418,Raymond Brown,1990,1990,F,6-8,220,"July 5, 1965","Mississippi State, Idaho",0,0,n
419,Rickey Brown,1981,1985,C-F,6-10,215,"August 20, 1958",Mississippi State,13,0,n
422,Shannon Brown,2007,2015,G,6-4,205,"November 29, 1985",Michigan State,25,0,n
424,Sterling Brown,2018,2023,G,6-5,219,"February 10, 1995",SMU,46,0,n
425,Tierre Brown,2002,2005,G,6-2,189,"June 3, 1979",McNeese State University,0,0,n
426,Tony Brown,1985,1992,F-G,6-6,185,"July 29, 1960",Arkansas,82,0,n
427,Troy Brown Jr.,2019,2024,G-F,6-6,215,"July 28, 1999",Oregon,15,0,n
429,Stanley Brundy,1990,1990,F,6-6,210,"November 13, 1967",DePaul,32,0,n
432,Jalen Brunson,2019,2025,G,6-2,190,"August 31, 1996",Villanova,33,0,n
433,Rick Brunson,1998,2006,G,6-4,190,"June 14, 1972",Temple,0,0,n
434,Nicolás Brussino,2017,2018,G-F,6-7,195,"March 2, 1993",,0,0,n
435,Elijah Bryant,2021,2021,G,6-5,210,"April 19, 1995","Elon University, BYU",0,0,n
437,Joe Bryant,1976,1983,F-C,6-9,185,"October 19, 1954",La Salle,14,0,n
438,Kobe Bryant,1997,2016,G-F,6-6,212,"August 23, 1978",,13,0,n
439,Mark Bryant,1989,2003,F-C,6-9,245,"April 25, 1965",Seton Hall,21,0,n
440,Thomas Bryant,2018,2025,C,6-10,248,"July 31, 1997",Indiana,42,0,n
441,Wallace Bryant,1984,1986,C,7-0,245,"July 14, 1959",San Francisco,30,0,n
442,Torgeir Bryn,1990,1990,C,6-9,250,"August 8, 1964",Texas State University,0,0,n
444,Shaq Buchanan,2022,2022,G,6-3,190,"January 30, 1997","Northeast Mississippi Community College, Murray State",0,0,n
446,Steve Bucknall,1990,1990,G,6-6,215,"March 17, 1966",UNC,0,0,n
448,Greg Buckner,2000,2009,G,6-4,210,"September 16, 1976",Clemson,53,0,n
449,Quinn Buckner,1977,1986,G,6-3,190,"August 20, 1954",Indiana,7,0,n
451,Chase Budinger,2010,2016,F,6-7,209,"May 22, 1988",Arizona,44,0,n
453,Jud Buechler,1991,2002,F-G,6-6,220,"June 19, 1968",Arizona,38,0,n
454,Kobe Bufkin,2024,2025,G,6-4,195,"September 21, 2003",Michigan,15,0,n
455,Rodney Buford,2000,2005,G-F,6-5,189,"November 2, 1977",Creighton,53,0,n
456,Matt Bullard,1991,2002,F,6-10,215,"June 5, 1967","Colorado, Iowa",0,0,n
457,Reggie Bullock,2014,2024,G-F,6-6,205,"March 16, 1991",UNC,25,0,n
464,Pat Burke,2003,2007,C-F,6-11,250,"December 14, 1973",Auburn,0,0,n
465,Trey Burke,2014,2022,G,6-0,185,"November 12, 1992",Michigan,9,0,n
467,Alec Burks,2012,2025,G,6-6,214,"July 20, 1991",Colorado,12,0,n
468,Antonio Burks,2005,2006,G,6-1,200,"February 25, 1980",Memphis,36,0,n
469,Kevin Burleson,2006,2006,G,6-3,205,"September 4, 1979",Minnesota,0,0,n
473,Evers Burns,1994,1994,F,6-8,260,"August 24, 1971",Maryland,31,0,n
475,Scott Burrell,1994,2001,G-F,6-7,218,"January 12, 1971",UConn,20,0,n
477,Junior Burrough,1996,1996,F,6-8,242,"January 18, 1973",Virginia,33,0,n
479,Deonte Burton,2019,2023,G,6-4,240,"January 31, 1994","Marquette, Iowa State",0,0,n
481,Willie Burton,1991,1999,F-G,6-8,210,"May 26, 1968",Minnesota,9,0,n
482,Steve Burtt,1985,1993,G,6-2,185,"November 5, 1962",Iona College,30,0,n
483,Don Buse,1973,1985,G,6-4,190,"August 10, 1950",University of Evansville,34,0,n
487,Caron Butler,2003,2016,F,6-7,228,"March 13, 1980",UConn,10,0,n
488,Greg Butler,1989,1991,C,6-11,240,"March 11, 1966",Stanford,37,0,n
489,Jackie Butler,2005,2007,F-C,6-10,250,"March 10, 1985",,0,0,n
490,Jared Butler,2022,2025,G,6-3,195,"August 25, 2000",Baylor,40,0,n
491,Jimmy Butler,2012,2025,F-G,6-7,230,"September 14, 1989","Tyler Junior College, Marquette",30,0,n
492,John Butler,2023,2023,C,7-0,175,"December 4, 2002",Florida State,0,0,n
494,Mitchell Butler,1994,2004,G-F,6-5,210,"December 15, 1970",UCLA,0,0,n
495,Rasual Butler,2003,2016,F-G,6-7,215,"May 23, 1979",La Salle,53,0,n
496,Dwight Buycks,2014,2018,G,6-3,190,"March 6, 1989",Marquette,0,0,n
497,Matas Buzelis,2025,2025,F,6-10,209,"October 13, 2004",,11,0,n
498,Derrick Byars,2012,2012,F,6-7,220,"April 25, 1984","Virginia, Vanderbilt",42,0,n
499,Andrew Bynum,2006,2014,C,7-0,285,"October 27, 1987",,10,0,n
500,Will Bynum,2006,2015,G,6-0,185,"January 4, 1983","Arizona, Georgia Tech",0,0,n
502,Marty Byrnes,1979,1983,F,6-7,215,"April 30, 1956",Syracuse,19,0,n
0,Žarko Čabarkapa,2004,2006,F,6-11,235,"May 21, 1981",,17,0,n
2,Bruno Caboclo,2015,2021,F-C,6-9,218,"September 21, 1995",,20,0,n
3,Devontae Cacok,2020,2022,F,6-7,240,"October 8, 1996",UNC Wilmington,0,0,n
4,Jason Caffey,1996,2003,F,6-8,255,"June 12, 1973",Alabama,20,0,n
5,Michael Cage,1985,2000,F-C,6-9,224,"January 28, 1962",San Diego State,14,0,n
6,Jamal Cain,2023,2025,F,6-7,191,"March 20, 1999","Marquette, Oakland",0,0,n
8,Nick Calathes,2014,2015,G,6-6,213,"February 7, 1989",Florida,45,0,n
9,José Calderón,2006,2019,G,6-3,200,"September 28, 1981",,0,0,n
10,Adrian Caldwell,1990,1998,F-C,6-8,265,"July 4, 1966","SMU, Lamar",0,0,n
13,Kentavious Caldwell-Pope,2014,2025,G,6-5,204,"February 18, 1993",Georgia,8,0,n
16,Demetrius Calip,1992,1992,G,6-1,165,"November 18, 1969",Michigan,0,0,n
18,Rick Calloway,1991,1991,F,6-6,180,"December 12, 1966","Indiana, Kansas",0,0,n
21,Toumani Camara,2024,2025,F,6-8,220,"May 8, 2000",Dayton,52,0,n
22,Dexter Cambridge,1993,1993,F,6-7,224,"January 29, 1970",Texas,0,0,n
23,Marcus Camby,1997,2013,C-F,6-11,220,"March 22, 1974",UMass,2,0,n
24,Facundo Campazzo,2021,2023,G,5-10,195,"March 23, 1991",,0,0,n
25,Elden Campbell,1991,2005,C,6-11,215,"July 23, 1968",Clemson,27,0,n
26,Tony Campbell,1985,1995,F-G,6-7,215,"May 7, 1962",Ohio State,20,0,n
27,Isaiah Canaan,2014,2019,G,6-0,201,"May 21, 1991",Murray State,34,0,n
28,Vlatko Čančar,2020,2025,F,6-8,236,"April 10, 1997",,49,0,n
29,Devin Cannady,2021,2022,G,6-2,183,"May 21, 1996",Princeton,0,0,n
31,Clint Capela,2015,2025,C,6-10,240,"May 18, 1994",,25,0,n
32,Derrick Caracter,2011,2011,F,6-9,275,"May 4, 1988","Louisville, Texas-El Paso",58,0,n
34,Brian Cardinal,2001,2012,F,6-8,245,"May 2, 1977",Purdue,44,0,n
35,Vernon Carey Jr.,2021,2023,C,6-9,270,"February 25, 2001",Duke,32,0,n
38,Geno Carlisle,2005,2005,G,6-3,180,"August 13, 1976","Northwestern, California",0,0,n
39,Rick Carlisle,1985,1990,G,6-5,210,"October 27, 1959","University of Maine, Virginia",70,0,n
42,Branden Carlson,2025,2025,C,7-0,220,"June 14, 1999",Utah,0,0,n
45,Rodney Carney,2007,2011,F,6-7,205,"April 15, 1984",Memphis,16,0,n
47,Antoine Carr,1985,2000,F-C,6-9,225,"July 23, 1961",Wichita State,8,0,n
49,Chris Carr,1996,2001,G,6-5,207,"March 12, 1974",Southern Illinois,56,0,n
50,Cory Carr,1999,1999,G,6-3,210,"December 5, 1975",Texas Tech,49,0,n
51,Kenny Carr,1978,1987,F,6-7,220,"August 15, 1955",NC State,6,0,n
52,M.L. Carr,1976,1985,F-G,6-6,205,"January 9, 1951",Guilford College,76,0,n
55,Carlton Carrington,2025,2025,G,6-4,190,"July 21, 2005",Pitt,14,0,n
56,DeMarre Carroll,2010,2020,F,6-6,215,"July 27, 1986","Vanderbilt, Missouri",27,0,n
57,Joe Barry Carroll,1981,1991,C-F,7-0,225,"July 24, 1958",Purdue,1,0,n
58,Matt Carroll,2004,2013,G,6-6,212,"August 28, 1980",Notre Dame,0,0,n
59,Jimmy Carruth,1997,1997,C-F,6-10,265,"November 4, 1969",Virginia Tech,0,0,n
60,Anthony Carter,2000,2012,G,6-1,190,"June 16, 1975",Hawaii,0,0,n
61,Butch Carter,1981,1986,G,6-5,180,"June 11, 1958",Indiana,37,0,n
64,Howard Carter,1984,1985,G,6-5,215,"October 26, 1961",LSU,15,0,n
66,Jevon Carter,2019,2025,G,6-1,200,"September 14, 1995",West Virginia,32,0,n
67,Maurice Carter,2004,2004,G,6-5,210,"October 12, 1976",LSU,0,0,n
70,Vince Carter,1999,2020,G-F,6-6,220,"January 26, 1977",UNC,5,0,n
71,Wendell Carter Jr.,2019,2025,C,6-10,270,"April 16, 1999",Duke,7,0,n
72,Michael Carter-Williams,2014,2023,G,6-5,190,"October 10, 1991",Syracuse,11,0,n
73,D.J. Carton,2024,2025,G,6-2,200,"August 5, 2000","Ohio State, Marquette",0,0,n
74,Bill Cartwright,1980,1995,C,7-1,245,"July 30, 1957",San Francisco,3,0,n
76,Alex Caruso,2018,2025,G,6-5,186,"February 28, 1994",Texas A&M,0,0,n
79,Sam Cassell,1994,2008,G,6-3,185,"November 18, 1969",Florida State,24,0,n
80,Omri Casspi,2010,2019,F,6-9,225,"June 22, 1988",,23,0,n
81,Stephon Castle,2025,2025,G,6-6,215,"November 1, 2004",UConn,4,0,n
82,Colin Castleton,2024,2025,F,6-11,250,"May 25, 2000","Michigan, Florida",0,0,n
83,Harvey Catchings,1975,1985,C-F,6-9,218,"September 2, 1951",Hardin-Simmons University,42,0,n
84,Terry Catledge,1986,1993,F,6-8,220,"August 22, 1963",University of South Alabama,21,0,n
86,Kelvin Cato,1998,2007,C,6-11,255,"August 26, 1974","University of South Alabama, Iowa State",15,0,n
87,Bobby Cattage,1982,1986,F,6-9,250,"August 17, 1958",Auburn,165,0,n
88,Willie Cauley-Stein,2016,2022,F-C,7-0,240,"August 18, 1993",Kentucky,6,0,n
89,Troy Caupain,2019,2019,G,6-4,210,"November 29, 1995",Cincinnati,0,0,n
90,Duane Causwell,1991,2001,C,7-0,240,"May 31, 1968",Temple,18,0,n
91,Tyler Cavanaugh,2018,2019,F,6-9,238,"February 9, 1994",George Washington,0,0,n
92,Ron Cavenall,1985,1989,C,7-1,230,"April 30, 1959",Texas Southern,0,0,n
93,Ahmad Caver,2022,2022,G,6-2,175,"September 12, 1996",Old Dominion,0,0,n
94,Malcolm Cazalon,2024,2024,G,6-6,212,"August 27, 2001",,0,0,n
95,Cedric Ceballos,1991,2001,F,6-7,220,"August 2, 1969",Cal State Fullerton,48,0,n
96,John Celestand,2000,2000,G,6-4,178,"March 6, 1977",Villanova,30,0,n
98,Lionel Chalmers,2005,2005,G,6-0,180,"November 10, 1980",Xavier,33,0,n
99,Mario Chalmers,2009,2018,G,6-2,190,"May 19, 1986",Kansas,34,0,n
103,Tom Chambers,1982,1998,F-C,6-10,220,"June 21, 1959",Utah,8,0,n
104,Julian Champagnie,2023,2025,F,6-8,220,"June 29, 2001",St. John's,0,0,n
105,Justin Champagnie,2022,2025,F,6-6,200,"June 29, 2001",Pitt,0,0,n
106,Mike Champion,1989,1989,F,6-10,230,"April 5, 1964",Gonzaga,0,0,n
107,Kennedy Chandler,2023,2023,G,6-0,171,"September 16, 2002",Tennessee,38,0,n
108,Tyson Chandler,2002,2020,C,7-0,235,"October 2, 1982",,2,0,n
109,Wilson Chandler,2008,2020,F,6-8,235,"May 10, 1987",DePaul,23,0,n
112,Rex Chapman,1989,2000,G,6-4,185,"October 5, 1967",Kentucky,8,0,n
116,Lorenzo Charles,1986,1986,F,6-7,225,"November 25, 1963",NC State,41,0,n
117,Joe Chealey,2019,2020,G,6-3,190,"November 1, 1995",College of Charleston,0,0,n
118,Calbert Cheaney,1994,2006,G-F,6-7,209,"July 17, 1971",Indiana,6,0,n
119,Zylan Cheatham,2020,2022,F,6-5,220,"November 17, 1995","San Diego State, Arizona State",0,0,n
120,Maurice Cheeks,1979,1993,G,6-1,180,"September 8, 1956",West Texas A&M University,36,0,n
122,Will Cherry,2015,2015,G,6-0,185,"February 8, 1991",Montana,0,0,n
123,Derrick Chievous,1989,1991,F,6-7,195,"July 3, 1967",Missouri,16,0,n
124,Pete Chilcutt,1992,2000,F-C,6-10,230,"September 14, 1968",UNC,27,0,n
125,Josh Childress,2005,2014,G-F,6-8,210,"June 20, 1983",Stanford,6,0,n
126,Randolph Childress,1996,1997,G,6-2,188,"September 21, 1972",Wake Forest,19,0,n
127,Chris Childs,1995,2003,G,6-3,195,"November 20, 1967",Boise State,0,0,n
128,Chris Chiozza,2019,2022,G,5-11,175,"November 21, 1995",Florida,0,0,n
130,Ulrich Chomche,2025,2025,F-C,6-10,235,"December 30, 2005",,57,0,n
132,Marquese Chriss,2017,2022,F,6-9,240,"July 2, 1997",Washington,8,0,n
136,Cam Christie,2025,2025,G,6-5,190,"July 24, 2005",Minnesota,46,0,n
137,Doug Christie,1993,2007,G-F,6-6,200,"May 9, 1970",Pepperdine,17,0,n
138,Max Christie,2023,2025,G,6-6,190,"February 10, 2003",Michigan State,35,0,n
139,Dionte Christmas,2014,2014,G,6-5,205,"September 15, 1986",Temple,0,0,n
140,Rakeem Christmas,2016,2017,F,6-9,250,"December 1, 1991",Syracuse,36,0,n
141,Semaj Christon,2017,2017,G,6-3,190,"November 1, 1992",Xavier,55,0,n
142,Josh Christopher,2022,2023,G,6-5,215,"December 8, 2001",Arizona State,24,0,n
143,Patrick Christopher,2015,2015,G-F,6-5,209,"June 3, 1988",California,0,0,n
145,Robert Churchwell,1996,1996,G-F,6-6,195,"February 20, 1972",Georgetown,0,0,n
146,Sidy Cissoko,2024,2025,G,6-8,200,"April 2, 2004",,44,0,n
148,Carlos Clark,1984,1985,G,6-4,210,"August 10, 1960",Ole Miss,91,0,n
150,Earl Clark,2010,2015,F,6-10,225,"January 17, 1988",Louisville,14,0,n
151,Gary Clark,2019,2022,F,6-6,225,"November 16, 1994",Cincinnati,0,0,n
152,Ian Clark,2014,2019,G,6-3,175,"March 7, 1991",Belmont,0,0,n
153,Keon Clark,1999,2004,F-C,6-11,220,"April 16, 1975","Irvine Valley College, Dixie State (UT), UNLV",13,0,n
154,Brandon Clarke,2020,2025,F,6-8,215,"September 19, 1996","San Jose State, Gonzaga",21,0,n
155,Coty Clarke,2016,2016,F,6-7,232,"July 4, 1992",Arkansas,0,0,n
156,Jordan Clarkson,2015,2025,G,6-3,194,"June 7, 1992","Tulsa, Missouri",46,0,n
157,Gian Clavell,2018,2018,G,6-4,185,"November 26, 1993",Colorado State,0,0,n
158,Victor Claver,2013,2015,F,6-9,224,"August 30, 1988",,22,0,n
160,Charles Claxton,1996,1996,C,7-0,265,"December 13, 1970",Georgia,50,0,n
161,Nic Claxton,2020,2025,C,6-11,215,"April 17, 1999",Georgia,31,0,n
162,Speedy Claxton,2002,2009,G,5-11,166,"May 8, 1978",Hofstra,20,0,n
164,Mateen Cleaves,2001,2006,G,6-2,205,"September 7, 1977",Michigan State,14,0,n
166,Chris Clemons,2020,2020,G,5-9,180,"July 23, 1997",Campbell,0,0,n
167,Antonius Cleveland,2018,2020,G,6-5,195,"February 2, 1994",SE Missouri State,0,0,n
169,Donovan Clingan,2025,2025,C,7-2,280,"February 23, 2004",UConn,7,0,n
171,Keith Closs,1998,2000,C,7-3,212,"April 3, 1976",Central Connecticut State University,0,0,n
172,Noah Clowney,2024,2025,F,6-10,210,"July 14, 2004",Alabama,21,0,n
176,Amir Coffey,2020,2025,G,6-7,210,"June 17, 1997",Minnesota,0,0,n
177,Richard Coffey,1991,1991,F,6-6,212,"September 2, 1965",Minnesota,0,0,n
178,Fred Cofield,1986,1987,G,6-3,190,"January 4, 1962","Oregon, Eastern Michigan",73,0,n
179,John Coker,1996,2001,C,7-0,253,"October 28, 1971",Boise State,0,0,n
180,Norris Cole,2012,2017,G,6-2,175,"October 13, 1988",Cleveland State University,28,0,n
181,Ben Coleman,1987,1994,F,6-9,235,"November 14, 1961","Minnesota, Maryland",37,0,n
182,Derrick Coleman,1991,2005,F-C,6-10,230,"June 21, 1967",Syracuse,1,0,n
185,Norris Coleman,1988,1988,F,6-8,210,"September 27, 1961",Kansas State,38,0,n
186,Bimbo Coles,1991,2004,G,6-1,180,"April 22, 1968",Virginia Tech,40,0,n
187,Isaiah Collier,2025,2025,G,6-3,210,"October 8, 2004",USC,29,0,n
188,Jason Collier,2001,2005,C,7-0,260,"September 8, 1977","Indiana, Georgia Tech",15,0,n
